bias,z,aux,curr,lockin-x,lockin-x2,lockin-y,lockin-y2
1612.9,231.0,0.0,0.3415378013017667,816.684,211.504,327.833,30.0494
1608.99,231.0,0.0,0.3404487041937868,776.734,159.799,335.59,-57.551
1605.08,231.0,0.0,0.3391288176811387,790.044,138.994,341.632,-78.0595
1601.17,231.0,0.0,0.3363593448251198,781.955,28.0642,341.46,-102.95
1597.26,231.0,0.0,0.33311303435615003,757.449,28.5419,330.224,-17.4467
1593.35,231.0,0.0,0.32982666952769235,733.25,10.0624,311.492,4.28149
1589.44,231.0,0.0,0.32896263977302526,766.356,56.4727,299.212,87.9802
1585.53,231.0,0.0,0.32751496078010633,743.343,68.1361,314.297,90.3452
1581.62,231.0,0.0,0.32872803566745346,735.75,120.349,325.119,128.735
1577.71,231.0,0.0,0.3262618315332713,715.774,144.803,317.341,25.3336
1573.8,231.0,0.0,0.3246615645042081,738.683,144.173,321.995,16.8378
1569.89,231.0,0.0,0.32420761509667884,709.492,120.584,312.344,-62.9894
1565.98,231.0,0.0,0.3232119781608373,710.002,88.9714,331.855,1.19672
1562.07,231.0,0.0,0.3229563932002957,696.277,41.7058,322.821,-91.3251
1558.16,231.0,0.0,0.3237136113296617,715.023,13.624,301.095,-3.29391
1554.25,231.0,0.0,0.3217566697661111,719.948,8.63667,323.136,-6.75211
1550.34,231.0,0.0,0.3227027155902058,719.557,9.15479,324.328,77.7914
1546.43,231.0,0.0,0.32278854636053694,696.345,70.7038,323.641,61.8679
1542.52,231.0,0.0,0.32023269675512006,689.965,78.5326,321.478,101.258
1538.61,231.0,0.0,0.3213179791621963,712.349,145.344,314.073,31.6863
1534.7,231.0,0.0,0.3183234389528646,681.558,119.777,312.695,21.732
1530.79,231.0,0.0,0.31707984645828863,695.181,136.286,322.138,-43.8094
1526.88,231.0,0.0,0.3155577807977493,688.224,67.3626,320.522,-62.7552
1522.97,231.0,0.0,0.31434852061130586,690.085,64.8793,302.517,-49.4459
1519.06,231.0,0.0,0.3102591612426388,656.815,2.24655,310.664,-6.22734
1515.15,231.0,0.0,0.30688696564385,649.398,-16.7856,317.407,27.3469
1511.24,231.0,0.0,0.30454664663948694,633.408,-11.681,315.178,46.6858
1507.33,231.0,0.0,0.3032038719214172,620.918,49.7278,314.705,59.8021
1503.42,231.0,0.0,0.3030036001239778,636.995,61.3782,302.253,64.8407
1499.51,231.0,0.0,0.3032115013232244,622.219,109.099,292.12,51.3107
1495.6,231.0,0.0,0.3029463796104237,630.799,91.3209,307.416,-1.60982
1491.69,231.0,0.0,0.3017542855780464,624.273,135.248,298.127,-12.6873
1487.78,231.0,0.0,0.3009493836873853,626.151,81.2548,311.51,-36.1555
1483.87,231.0,0.0,0.29935293135922564,599.065,59.3548,315.688,13.4272
